Laikotarpis,Rodiklis,Kelių įvykis,Matavimo vienetai,Reikšmė,Metai,Menuo,Neblaivių asmenų kaltė,Administracinė teritorija
2022M12,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,158,2022,12,,
2022M11,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,219,2022,11,,
2022M10,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,272,2022,10,,
2022M09,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,270,2022,09,,
2022M08,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,344,2022,08,,
2022M07,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,282,2022,07,,
2022M06,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,290,2022,06,,
2022M05,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,319,2022,05,,
2022M04,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,214,2022,04,,
2022M03,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,173,2022,03,,
2022M02,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,140,2022,02,,
2022M01,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,180,2022,01,,
2021M12,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,215,2021,12,,
2021M11,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,219,2021,11,,
2021M10,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,275,2021,10,,
2021M09,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,256,2021,09,,
2021M08,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,310,2021,08,,
2021M07,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,340,2021,07,,
2021M06,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,359,2021,06,,
2021M05,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,261,2021,05,,
2021M04,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,193,2021,04,,
2021M03,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,159,2021,03,,
2021M02,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,100,2021,02,,
2021M01,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,97,2021,01,,
2020M12,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,150,2020,12,,
2020M11,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,184,2020,11,,
2020M10,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,245,2020,10,,
2020M09,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,333,2020,09,,
2020M08,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,331,2020,08,,
2020M07,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,317,2020,07,,
2020M06,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,295,2020,06,,
2020M05,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,196,2020,05,,
2020M04,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,122,2020,04,,
2020M03,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,147,2020,03,,
2020M02,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,231,2020,02,,
2020M01,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",Visi kelių eismo įvykiai,vnt.,237,2020,01,,
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,239,,,Neblaivių vairuotojų kaltė,
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,183,,,Neblaivių vairuotojų kaltė,
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,177,,,Neblaivių vairuotojų kaltė,
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,755,,,,Vilniaus apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,767,,,,Vilniaus apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,746,,,,Vilniaus apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,123,,,,Alytaus apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,126,,,,Alytaus apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,117,,,,Alytaus apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,581,,,,Kauno apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,636,,,,Kauno apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,672,,,,Kauno apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,378,,,,Klaipėdos apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,359,,,,Klaipėdos apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,383,,,,Klaipėdos apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,104,,,,Marijampolės apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,85,,,,Marijampolės apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,119,,,,Marijampolės apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,301,,,,Panevėžio apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,239,,,,Panevėžio apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,303,,,,Panevėžio apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,252,,,,Šiaulių apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,241,,,,Šiaulių apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,256,,,,Šiaulių apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,70,,,,Tauragės apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,92,,,,Tauragės apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,61,,,,Tauragės apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,137,,,,Telšių apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,136,,,,Telšių apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,107,,,,Telšių apskritis
2020,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,87,,,,Utenos apskritis
2021,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,103,,,,Utenos apskritis
2022,"Kelių eismo įvykiai, kuriuose nukentėjo žmonės",,vnt.,97,,,,Utenos apskritis
